Stadium,Section ID,Section Name,Level,First Row,Last Row,Total Rows,Seats Row 1,Seats Last Row,Avg Seats/Row,Total Seats,Covered,Distance From Field (ft),Notes
rays,107,Dex Imaging Home Plate Club 107,field,D,J,7,,,,,true,50,Premium section
rays,108,Dex Imaging Home Plate Club 108,field,D,J,7,,,,,true,50,Premium section
rays,103,Dex Imaging Home Plate Club 103,field,E,J,6,,,,,true,50,Premium section
rays,104,Dex Imaging Home Plate Club 104,field,E,J,6,,,,,true,50,Premium section
rays,101,Lower Box 101,field,L,JJ,24,,,,,true,60,Behind home plate
rays,102,Lower Box 102,field,L,JJ,24,,,,,true,60,Behind home plate
